,Unnamed: 0,Submission ID,Title,Acceptance Status,Track,Authors,Main Contact Affiliation,Submission Type,ARRLink,sha1,url
692,692,3617,TaCube: Pre-computing Data Cubes for Answering Numerical-Reasoning Questions over Tabular Data,Accept-Oral,Question Answering,"Fan Zhou, Mengkang Hu, Haoyu Dong, zhoujun cheng, Fan Cheng, Shi Han and Dongmei Zhang",Microsoft Research,Regular Long Paper,,52b3087525b262f6f467453e22fdfa843353d40c,https://www.semanticscholar.org/reader/52b3087525b262f6f467453e22fdfa843353d40c?experiments=&features=reader_skimming%3Atrue
693,693,3636,Rich Knowledge Sources Bring Complex Knowledge Conflicts: Recalibrating Models to Reflect Conflicting Evidence,Accept-Oral,Question Answering,"Hung-Ting Chen, Michael Zhang and Eunsol Choi",University of Texas at Austin,Regular Long Paper,,5b70e69b65b29d231d37bea354b25c05daec07e2,https://www.semanticscholar.org/reader/5b70e69b65b29d231d37bea354b25c05daec07e2?experiments=&features=reader_skimming%3Atrue
694,694,3725,QA Domain Adaptation using Hidden Space Augmentation and Self-Supervised Contrastive Adaptation,Accept-Oral,Question Answering,"Zhenrui Yue, Huimin Zeng, Bernhard Kratzwald, Stefan Feuerriegel and Dong Wang",University of Illinois Urbana-Champaign,Regular Long Paper,,3269250db1cca1b18f26be4224055a2ef9eeded6,https://www.semanticscholar.org/reader/3269250db1cca1b18f26be4224055a2ef9eeded6?experiments=&features=reader_skimming%3Atrue
698,698,3826,Generating Information-Seeking Conversations from Unlabeled Documents,Accept-Oral,Question Answering,"Gangwoo Kim, Sungdong Kim, Kang Min Yoo and Jaewoo Kang",Korea University,Regular Long Paper,,c483861a011034b8972fec3a3ec76f28335b131c,https://www.semanticscholar.org/reader/c483861a011034b8972fec3a3ec76f28335b131c?experiments=&features=reader_skimming%3Atrue
699,699,3867,Distill The Image to Nowhere: Inversion Knowledge Distillation for Multimodal Machine Translation,Accept-Oral,Machine Translation,"RU Peng, Yawen Zeng and Jake Zhao",Zhejiang University,Regular Long Paper,,dd62b2b99b5baa913be90d47779a194a21c866c4,https://www.semanticscholar.org/reader/dd62b2b99b5baa913be90d47779a194a21c866c4?experiments=&features=reader_skimming%3Atrue
701,701,3904,SafeText: A Benchmark for Exploring Physical Safety in Language Models,Accept-Oral,Ethics,"Sharon Levy, Emily Allaway, Melanie Subbiah, Lydia Chilton, Desmond Patton, Kathleen McKeown and William Yang Wang",UC Santa Barbara,Regular Long Paper,,2b6291eb76e2ff885238e94704bb795046d7d530,https://www.semanticscholar.org/reader/2b6291eb76e2ff885238e94704bb795046d7d530?experiments=&features=reader_skimming%3Atrue
702,702,3992,Ground-Truth Labels Matter: A Deeper Look into Input-Label Demonstrations,Accept-Oral,Language Modeling and Analysis of Language Models,"Kang Min Yoo, Junyeob Kim, Hyuhng Joon Kim, Hyunsoo Cho, Hwiyeol Jo, Sang-Woo Lee, Sang-goo Lee and Taeuk Kim",Seoul National University,Regular Long Paper,,316206a2f89eb94ce02a81fba1dc304586f21b39,https://www.semanticscholar.org/reader/316206a2f89eb94ce02a81fba1dc304586f21b39?experiments=&features=reader_skimming%3Atrue
703,703,4156,D4: a Chinese Dialogue Dataset for Depression-Diagnosis-Oriented Chat,Accept-Oral,Ethic Concerns:Dialogue and Interactive Systems,"Binwei Yao, Chao Shi, Likai Zou, Lingfeng Dai, Mengyue Wu, Lu Chen, Zhen Wang and Kai Yu",Shanghai Jiao Tong University,Regular Long Paper,,29a1f9942b7b7070bfced1bdb7d33142afb61ca2,https://www.semanticscholar.org/reader/29a1f9942b7b7070bfced1bdb7d33142afb61ca2?experiments=&features=reader_skimming%3Atrue
706,706,4366,Towards Climate Awareness in NLP Research,Accept-Oral,Theme Track,"Daniel Hershcovich, Nicolas Webersinke, Mathias Kraus, Julia Bingler and Markus Leippold",University of Copenhagen,ARR - Long Paper,https://openreview.net/forum?id=BlZxK_xWlz5,8d0f755dea90f35f4b126a01fa3cce96b3bdd344,https://www.semanticscholar.org/reader/8d0f755dea90f35f4b126a01fa3cce96b3bdd344?experiments=&features=reader_skimming%3Atrue
707,707,4386,Navigating Connected Memories with a Task-oriented Dialog System,Accept-Oral,Dialogue and Interactive Systems,"Satwik Kottur, Seungwhan Moon, Alborz Geramifard and Babak Damavandi",Meta Reality Labs,ARR - Long Paper,https://openreview.net/forum?id=ktyf0Klfw8,bda1df17ff234cb7bcf454f22b6c4f45b431ab15,https://www.semanticscholar.org/reader/bda1df17ff234cb7bcf454f22b6c4f45b431ab15?experiments=&features=reader_skimming%3Atrue
708,708,4390,Language Model Decomposition: Quantifying the Dependency and Correlation of Language Models,Accept-Oral,Language Modeling and Analysis of Language Models,Hao Zhang,Bloomberg LP,ARR - Short Paper,https://openreview.net/forum?id=f1GaQj3YuyN&referrer=[the%20profile%20of%20Hao%20Zhang](/profile?id=~Hao_Zhang41),97fa7651ed8ffa2be62e40c97b55a4590741117e,https://www.semanticscholar.org/reader/97fa7651ed8ffa2be62e40c97b55a4590741117e?experiments=&features=reader_skimming%3Atrue
710,710,4436,Varifocal Question Generation for Fact-checking,Accept-Oral,NLP Applications,"Nedjma Djouhra Ousidhoum, Zhangdie Yuan and Andreas Vlachos",Postdoc,ARR - Long Paper,https://openreview.net/forum?id=BNneEKeZxz5&referrer=[the%20profile%20of%20Nedjma%20OUSIDHOUM](/profile?id=~Nedjma_OUSIDHOUM1),be050e69aadd6461ff3bc35dcfa7a551742ef840,https://www.semanticscholar.org/reader/be050e69aadd6461ff3bc35dcfa7a551742ef840?experiments=&features=reader_skimming%3Atrue
711,711,4439,Bilingual Lexicon Induction for Low-Resource Languages using Graph Matching via Optimal Transport,Accept-Oral,Unsupervised and Weakly-Supervised Methods in NLP,"Kelly Marchisio, Ali Saad-Eldin, Kevin Duh, carey e. priebe and Philipp Koehn",Johns Hopkins University,ARR - Long Paper,https://openreview.net/forum?id=GB80kUdS8D4,0d1bceb56cfb765b46886ee83f1d6a498d6ea61a,https://www.semanticscholar.org/reader/0d1bceb56cfb765b46886ee83f1d6a498d6ea61a?experiments=&features=reader_skimming%3Atrue
712,712,4441,Whose Language Counts as High Quality? Measuring Language Ideologies in Text Data Selection,Accept-Oral,Theme Track,"Suchin Gururangan, Dallas Card, Sarah K. Dreier, Emily K. Gade, Leroy Zhifei Wang, Zeyu Wang, Luke Zettlemoyer and Noah A. Smith",Paul G. Allen School of Computer Science; Meta AI,ARR - Long Paper,https://openreview.net/forum?id=rxbdK_xWxMq,0a4b8b161931799d5c6bc3ecf07c53bae0e9e502,https://www.semanticscholar.org/reader/0a4b8b161931799d5c6bc3ecf07c53bae0e9e502?experiments=&features=reader_skimming%3Atrue
713,713,4446,ConReader: Exploring Implicit Relations in Contracts for Contract Clause Extraction,Accept-Oral,NLP Applications,"Weiwen Xu, Yang Deng, Wenqiang Lei, Wenlong ZHAO, Tat-Seng Chua and Wai Lam",The Chinese University of Hong Kong,ARR - Long Paper,https://openreview.net/forum?id=_mC2snCeL0o,0e131a325ffbdbfb8963ce8c63b1336376bf5de8,https://www.semanticscholar.org/reader/0e131a325ffbdbfb8963ce8c63b1336376bf5de8?experiments=&features=reader_skimming%3Atrue
715,715,4475,Revisiting Parameter-Efficient Tuning: Are We Really There Yet?,Accept-Oral,"Interpretability, Interactivity and Analysis of Models for NLP","Guanzheng Chen, Fangyu Liu, Zaiqiao Meng and Shangsong Liang",Sun Yat-sen University,ARR - Long Paper,https://openreview.net/forum?id=qnxJo6h_gNK&referrer=%5BAuthor%20Console%5D(%2Fgroup%3Fid%3Daclweb.org%2FACL%2FARR%2F2022%2FApril%2FAuthors%23your-submissions),4c09ac7b09628aa2aad12aea8dd6c2aef6c83aa0,https://www.semanticscholar.org/reader/4c09ac7b09628aa2aad12aea8dd6c2aef6c83aa0?experiments=&features=reader_skimming%3Atrue
720,720,4550,Measuring Context-Word Biases in Lexical Semantic Datasets,Accept-Oral,"Semantics: Lexical, Sentence level, Textual Inference and Other areas","Qianchu Liu, Diana McCarthy and Anna Korhonen",University of Cambridge,ARR - Long Paper,https://openreview.net/forum?id=moIDx8HSW0o,4a4991a425a8181a6a65c8ca092ab0c3a2707a8b,https://www.semanticscholar.org/reader/4a4991a425a8181a6a65c8ca092ab0c3a2707a8b?experiments=&features=reader_skimming%3Atrue
721,721,4567,Iteratively Prompt Pre-trained Language Models for Chain of Thought,Accept-Oral,Language Modeling and Analysis of Language Models,"Boshi Wang, Xiang Deng and Huan Sun",The Ohio State University,ARR - Long Paper,https://openreview.net/forum?id=dUFCBablhfj,3f4d11971f2c64be9125a7fe99c019588bbebf16,https://www.semanticscholar.org/reader/3f4d11971f2c64be9125a7fe99c019588bbebf16?experiments=&features=reader_skimming%3Atrue
722,722,4584,Unobserved Local Structures Make Compositional Generalization Hard,Accept-Oral,"Semantics: Lexical, Sentence level, Textual Inference and Other areas","Ben Bogin, Shivanshu Gupta and Jonathan Berant",Tel Aviv University,ARR - Long Paper,https://openreview.net/forum?id=rdO8RCqacJq,9fe39e0f2cf3b6d5f70a379654f9c08ffa48ddee,https://www.semanticscholar.org/reader/9fe39e0f2cf3b6d5f70a379654f9c08ffa48ddee?experiments=&features=reader_skimming%3Atrue
724,724,112,Back to the Future: Bidirectional Information Decoupling Network for Multi-turn Dialogue Modeling,Accept-Poster,Dialogue and Interactive Systems,"Yiyang Li, Hai Zhao and Zhuosheng Zhang",Shanghai Jiao Tong University,Regular Long Paper,,7ba28d214d98f2a9c2e37e6cdf294d0d4e2a1e50,https://www.semanticscholar.org/reader/7ba28d214d98f2a9c2e37e6cdf294d0d4e2a1e50?experiments=&features=reader_skimming%3Atrue
725,725,113,Calibration Meets Explanation: A Simple and Effective Approach for Model Confidence Estimates,Accept-Poster,"Interpretability, Interactivity and Analysis of Models for NLP","Dongfang Li, Baotian Hu and Qingcai Chen","Harbin Institute of Technology, Shenzhen",Regular Short Paper,,00e06c446546a51445847f11d2a89cc08aa045e8,https://www.semanticscholar.org/reader/00e06c446546a51445847f11d2a89cc08aa045e8?experiments=&features=reader_skimming%3Atrue
726,726,131,Non-Autoregressive Neural Machine Translation: A Call for Clarity,Accept-Poster,Machine Translation,"Robin M. Schmidt, Telmo Pires, Stephan Peitz and Jonas Lööf",Apple,Regular Short Paper,,258cbe92945708a9bfc7eb0c87d08516db1d8b40,https://www.semanticscholar.org/reader/258cbe92945708a9bfc7eb0c87d08516db1d8b40?experiments=&features=reader_skimming%3Atrue
727,727,144,RED-ACE: Robust Error Detection for ASR using Confidence Embeddings,Accept-Poster,NLP Applications,"Zorik Gekhman, Dina Zverinski, Jonathan Mallinson and Genady Beryozkin",Google,Regular Short Paper,,076e3bd06c5a5b56bcdea13f6af545b89352907b,https://www.semanticscholar.org/reader/076e3bd06c5a5b56bcdea13f6af545b89352907b?experiments=&features=reader_skimming%3Atrue
728,728,149,Fast-R2D2: A Pretrained Recursive Neural Network based on Pruned CKY for Grammar Induction and Text Representation,Accept-Poster,Unsupervised and Weakly-Supervised Methods in NLP,"Xiang Hu, Haitao Mi, Liang Li and Gerard de Melo",Ant Group,Regular Long Paper,,dc85180153687539724d20a5927b2fbdf5f8e2a4,https://www.semanticscholar.org/reader/dc85180153687539724d20a5927b2fbdf5f8e2a4?experiments=&features=reader_skimming%3Atrue
732,732,178,PromptEHR: Conditional Electronic Healthcare Records Generation with Prompt Learning,Accept-Poster,NLP Applications,Zifeng Wang and Jimeng Sun,UIUC,Regular Long Paper,,3c4f79018c5c68bb470d0f8ddc78e1a8cbf61209,https://www.semanticscholar.org/reader/3c4f79018c5c68bb470d0f8ddc78e1a8cbf61209?experiments=&features=reader_skimming%3Atrue
733,733,184,ROSE: Robust Selective Fine-tuning for Pre-trained Language Models,Accept-Poster,Language Modeling and Analysis of Language Models,"Lan Jiang, Hao Zhou, Yankai Lin, Peng Li, Jie Zhou and Rui Jiang",Tsinghua University,Regular Long Paper,,175b32c07e56f881479be4c5a74bfa3c731cc454,https://www.semanticscholar.org/reader/175b32c07e56f881479be4c5a74bfa3c731cc454?experiments=&features=reader_skimming%3Atrue
742,742,248,Improving Multi-turn Emotional Support Dialogue Generation with Lookahead Strategy Planning,Accept-Poster,Dialogue and Interactive Systems,"Yi Cheng, Wenge Liu, Wenjie Li, Jiashuo WANG, Ruihui Zhao, Bang Liu, Xiaodan Liang and Yefeng Zheng",Hong Kong Polytechnic University,Regular Long Paper,,f36053a516cc4e3e72291ad2eaa042a299a19635,https://www.semanticscholar.org/reader/f36053a516cc4e3e72291ad2eaa042a299a19635?experiments=&features=reader_skimming%3Atrue
743,743,254,Conformal Predictor for Improving Zero-Shot Text Classification Efficiency,Accept-Poster,Machine Learning for NLP,"Prafulla Kumar Choubey, Yu Bai, Chien-Sheng Wu, Wenhao Liu and Nazneen Rajani",Salesforce AI Research,Regular Short Paper,,268fda32364892264030f9749fda5b7ca780ae11,https://www.semanticscholar.org/reader/268fda32364892264030f9749fda5b7ca780ae11?experiments=&features=reader_skimming%3Atrue
744,744,259,Effective and Efficient Query-aware Snippet Extraction for Web Search,Accept-Poster,Summarization,"Jingwei Yi, Fangzhao Wu, Chuhan Wu, Xiaolong Huang, Binxing Jiao, Guangzhong Sun and Xing Xie",University of Science and Technology of China,Regular Long Paper,,aeb0335390f53a6a38090c021c77c47aca6a0021,https://www.semanticscholar.org/reader/aeb0335390f53a6a38090c021c77c47aca6a0021?experiments=&features=reader_skimming%3Atrue
746,746,287,Generative Entity Typing with Curriculum Learning,Accept-Poster,Information Retrieval and Text Mining,"Siyu Yuan, Deqing Yang, Jiaqing Liang, Zhixu Li, Jinxi Liu, Jingyue Huang and Yanghua Xiao",Fudan University,Regular Long Paper,,2b787c790189c82be89b9bb3b887a69da4259dbe,https://www.semanticscholar.org/reader/2b787c790189c82be89b9bb3b887a69da4259dbe?experiments=&features=reader_skimming%3Atrue
749,749,320,Multi-level Distillation of Semantic Knowledge for Pre-training Multilingual Language Model,Accept-Poster,Multilinguality,"Mingqi Li, Fei Ding, Dan Zhang, Long Cheng, Hongxin Hu and feng luo",Clemson University,Regular Long Paper,,ae3d8af12b176d16961b53850c98d98449f9940e,https://www.semanticscholar.org/reader/ae3d8af12b176d16961b53850c98d98449f9940e?experiments=&features=reader_skimming%3Atrue
752,752,351,Revisiting Pre-trained Language Models and their Evaluation for Arabic Natural Language Processing,Accept-Poster,Language Modeling and Analysis of Language Models,"Abbas Ghaddar, Yimeng Wu, Sunyam Bagga, Ahmad Rashid, Khalil Bibi, Mehdi Rezagholizadeh, Chao Xing, Yasheng Wang, Xinyu Duan, Zhefeng Wang, baoxing Huai, Xin Jiang, Qun Liu and Phillippe Langlais","Huawei Noah's Ark Lab, Montreal Research Center",Regular Long Paper,,24fbe3af030f393e55bda3dc7dae0f57bd270d04,https://www.semanticscholar.org/reader/24fbe3af030f393e55bda3dc7dae0f57bd270d04?experiments=&features=reader_skimming%3Atrue
753,753,357,KECP: Knowledge Enhanced Contrastive Prompting for Few-shot Extractive Question Answering,Accept-Poster,Question Answering,"Jianing Wang, Chengyu Wang, Minghui Qiu, Qiuhui Shi, Hongbin Wang, jun huang and Ming Gao",East China Normal University,Regular Long Paper,,375c41566e8710c7b6cbf12c1bf6347f5aa23ab8,https://www.semanticscholar.org/reader/375c41566e8710c7b6cbf12c1bf6347f5aa23ab8?experiments=&features=reader_skimming%3Atrue
754,754,358,Knowledge Prompting in Pre-trained Language Model for Natural Language Understanding,Accept-Poster,Language Modeling and Analysis of Language Models,"Jianing Wang, Wenkang Huang, Minghui Qiu, Qiuhui Shi, Hongbin Wang, Xiang Li and Ming Gao",East China Normal University,Regular Long Paper,,17dcfef70619c0423e0527f0c9d90f4858125f5f,https://www.semanticscholar.org/reader/17dcfef70619c0423e0527f0c9d90f4858125f5f?experiments=&features=reader_skimming%3Atrue
755,755,364,On the Evaluation Metrics for Paraphrase Generation,Accept-Poster,Resources and Evaluation,"Lingfeng Shen, Lemao Liu, Haiyun Jiang and Shuming Shi",Johns Hopkins University,Regular Long Paper,,e1fd982b8d223c0f1594c6e13176758e86b1de67,https://www.semanticscholar.org/reader/e1fd982b8d223c0f1594c6e13176758e86b1de67?experiments=&features=reader_skimming%3Atrue
758,758,381,RASAT: Integrating Relational Structures into Pretrained Seq2Seq Model for Text-to-SQL,Accept-Poster,"Semantics: Lexical, Sentence level, Textual Inference and Other areas","Jiexing Qi, Jingyao Tang, Ziwei He, Xiangpeng Wan, Yu Cheng, Chenghu Zhou, Xinbing Wang, Quanshi Zhang and Zhouhan Lin",Shanghai Jiao Tong University,Regular Long Paper,,14793aa93920cb8f748776cc45c3895de6df5fbf,https://www.semanticscholar.org/reader/14793aa93920cb8f748776cc45c3895de6df5fbf?experiments=&features=reader_skimming%3Atrue
762,762,415,Robots-Dont-Cry: Understanding Falsely Anthropomorphic Utterances in Dialog Systems,Accept-Poster,Dialogue and Interactive Systems,"David Gros, Yu Li and Zhou Yu",University of California - Davis,Regular Long Paper,,8c5dfc418b937ba78e481ca46a5f43ac61863059,https://www.semanticscholar.org/reader/8c5dfc418b937ba78e481ca46a5f43ac61863059?experiments=&features=reader_skimming%3Atrue
764,764,423,Making Pretrained Language Models Good Long-tailed Learners,Accept-Poster,Machine Learning for NLP,"Chen Zhang, Lei Ren, Jingang Wang, Wei Wu and Dawei Song",Beijing Institute of Technology,Regular Long Paper,,14f1c16a322fb6dfef7bde329648d9e34839c9dd,https://www.semanticscholar.org/reader/14f1c16a322fb6dfef7bde329648d9e34839c9dd?experiments=&features=reader_skimming%3Atrue
769,769,456,RLPrompt: Optimizing Discrete Text Prompts with Reinforcement Learning,Accept-Poster,Machine Learning for NLP,"Mingkai Deng, Jianyu Wang, Cheng-Ping Hsieh, Yihan Wang, Han Guo, Tianmin Shu, Meng Song, Eric Xing and Zhiting Hu",Carnegie Mellon University,Regular Long Paper,,07759a84f27e43cfa5bc8d579f8227c96e6ae1dc,https://www.semanticscholar.org/reader/07759a84f27e43cfa5bc8d579f8227c96e6ae1dc?experiments=&features=reader_skimming%3Atrue
770,770,462,DisCup: Discriminator Cooperative Unlikelihood Prompt-tuning for Controllable Text Generation,Accept-Poster,Natural Language Generation,Hanqing Zhang and Dawei Song,Beijing Institute of Technology,Regular Long Paper,,f7122057d86f4f9f2d28565d5e2709a8b7cc6fdb,https://www.semanticscholar.org/reader/f7122057d86f4f9f2d28565d5e2709a8b7cc6fdb?experiments=&features=reader_skimming%3Atrue
771,771,472,CPL: Counterfactual Prompt Learning for Vision and Language Models,Accept-Poster,"Speech, Vision, Robotics, Multimodal Grounding","Xuehai He, Diji Yang, Weixi Feng, Tsu-Jui Fu, Arjun Akula, Varun Jampani, Pradyumna Narayana, Sugato Basu, William Yang Wang and Xin Eric Wang",UCSC,Regular Long Paper,,7c4be464e68a11c8f254d9608f31280e9bcda85c,https://www.semanticscholar.org/reader/7c4be464e68a11c8f254d9608f31280e9bcda85c?experiments=&features=reader_skimming%3Atrue
772,772,475,Red Teaming Language Models with Language Models,Accept-Poster,Language Modeling and Analysis of Language Models,"Ethan Perez, Saffron Huang, Francis Song, Trevor Cai, Roman Ring, John Aslanides, Amelia Glaese, Nat McAleese and Geoffrey Irving",Anthropic,Regular Long Paper,,5d49c7401c5f2337c4cc88d243ae39ed659afe64,https://www.semanticscholar.org/reader/5d49c7401c5f2337c4cc88d243ae39ed659afe64?experiments=&features=reader_skimming%3Atrue
773,773,478,CapOnImage: Context-driven Dense-Captioning on Image,Accept-Poster,Natural Language Generation,"Yiqi Gao, Xinglin Hou, Yuanmeng Zhang, Tiezheng Ge, Yuning Jiang and peng wang",Northwestern Polytechnical University,Regular Long Paper,,140f83a8774b1b847aa0aa6a5b0ac63fce27bb00,https://www.semanticscholar.org/reader/140f83a8774b1b847aa0aa6a5b0ac63fce27bb00?experiments=&features=reader_skimming%3Atrue
775,775,518,Discovering Differences in the Representation of People using Contextualized Semantic Axes,Accept-Poster,Computational Social Science and Cultural Analytics,"Li Lucy, Divya Tadimeti and David Bamman","University of California, Berkeley",Regular Long Paper,,7f5801f8036e71658a12d16203617b2ab25ef14f,https://www.semanticscholar.org/reader/7f5801f8036e71658a12d16203617b2ab25ef14f?experiments=&features=reader_skimming%3Atrue
777,777,529,Machine Translation Robustness to Natural Asemantic Variation,Accept-Poster,Machine Translation,"Jacob Bremerman, Xiang Ren and Jonathan May",University of Southern California,Regular Long Paper,,4743ee49af83d3010549ee105e0c193b36fa239a,https://www.semanticscholar.org/reader/4743ee49af83d3010549ee105e0c193b36fa239a?experiments=&features=reader_skimming%3Atrue
779,779,536,Life is a Circus and We are the Clowns: Automatically Finding Analogies between Situations and Processes,Accept-Poster,NLP Applications,Oren Sultan and Dafna Shahaf,The Hebrew University of Jerusalem,Regular Long Paper,,cc215aeab129dd3f403351353a07236a7944b763,https://www.semanticscholar.org/reader/cc215aeab129dd3f403351353a07236a7944b763?experiments=&features=reader_skimming%3Atrue
781,781,548,Analyzing the Mono- and Cross-Lingual Pretraining Dynamics of Multilingual Language Models,Accept-Poster,Multilinguality,"Terra Blevins, Hila Gonen and Luke Zettlemoyer",University of Washington,Regular Long Paper,,0b4f0f6b04476c4f2cdfeabf99d4b835227f0bb2,https://www.semanticscholar.org/reader/0b4f0f6b04476c4f2cdfeabf99d4b835227f0bb2?experiments=&features=reader_skimming%3Atrue
783,783,569,Distilling Causal Effect from Miscellaneous Other-Class for Continual Named Entity Recognition,Accept-Poster,NLP Applications,"Junhao Zheng, Zhanxian Liang, Haibin Chen and Qianli Ma",South China University of Technology,Regular Long Paper,,2cad84f86b4632b356642c2c3ac799cc94383e0c,https://www.semanticscholar.org/reader/2cad84f86b4632b356642c2c3ac799cc94383e0c?experiments=&features=reader_skimming%3Atrue
786,786,582,Unsupervised Tokenization Learning,Accept-Poster,Unsupervised and Weakly-Supervised Methods in NLP,Anton Kolonin and Vignav Ramesh,SingularityNET Foundation,Regular Long Paper,,60eae587d084b4bc3bb7ae31d5e84a97e9dff15d,https://www.semanticscholar.org/reader/60eae587d084b4bc3bb7ae31d5e84a97e9dff15d?experiments=&features=reader_skimming%3Atrue
787,787,590,A Template-based Method for Constrained Neural Machine Translation,Accept-Poster,Machine Translation,"Shuo Wang, Peng Li, Zhixing Tan, Zhaopeng Tu, Maosong Sun and Yang Liu",Tsinghua University,Regular Long Paper,,558f8e4eabee92f2ac6c928c2f31759ce1c839b7,https://www.semanticscholar.org/reader/558f8e4eabee92f2ac6c928c2f31759ce1c839b7?experiments=&features=reader_skimming%3Atrue
